replication,success,a_hat,m_hat,b_hat,loglik
121,True,0.00043116255432578483,1.6964099003474278,1.7073702126771626,-369.8170194515798
122,True,0.5487100503341232,0.5616329914999709,2.727125493771309,-384.4990698100229
123,True,0.46248432837430936,0.4860361082474583,2.042510014141199,-353.6634601425807
124,True,0.9630972229507345,1.0304234821662195,1.0639336607726932,-357.22388245878113
125,True,0.5186447198693409,0.5443429195815234,2.671671691382223,-381.1453631657066
126,True,9.999999999999997e-06,0.6650656253526962,3.2523658211573205,-385.29647758633837
127,True,1.1230454825840535,1.1978324221972931,1.2388696281363687,-376.1208894212177
128,True,0.09023482324336496,2.0088897356590643,2.0311265266815957,-394.19664369327586
129,True,0.4792292750003069,0.4858221926120665,2.552630709134032,-373.44012116601226
130,True,1.215926161494824,1.2727226952371093,1.324701023665946,-384.71853844433247
131,True,0.25654302722382855,0.2657029756776675,2.9517706380814244,-369.8435419967602
132,True,1.0000000142749633e-05,1.722524395253757,1.7448941524245798,-372.2818364782546
133,True,2.23315216438569e-05,1.9518951714458865,1.9789727146760683,-387.8899399685965
134,True,0.010799535154625933,1.7864664697093522,2.6195354190981845,-402.2589139459119
135,True,1.0789347650436258,1.1731892359745897,1.1931986934088126,-372.02939651307736
136,True,1.6081381712231353e-05,1.8882828793001092,1.9230590992274925,-384.1570173216934
137,True,0.04079514440512727,0.22901256020881522,3.568953060835685,-380.045978226476
138,True,0.11776062949257729,1.415373913719216,1.4521619913840726,-353.7172164187615
139,True,1.221235084067458,1.2683939391167753,1.3159170607704338,-384.45845705942094
140,True,0.477721717422319,1.896959265722971,1.9685934051977596,-400.8613736889751
141,True,0.1647232883714541,0.16656727327968476,2.8891686925859035,-359.4053525354357
142,True,0.6533974058746809,0.6647155215708195,2.275353305354567,-376.875228893138
143,True,0.49296106948303864,0.5064392861236788,2.3464256275924122,-367.5114572161651
144,True,9.999999999999997e-06,0.8957866221789815,3.16764230947169,-390.46306264051333
145,True,0.0028330873801012506,2.070124445593537,2.095790539407466,-395.0534449539276
146,True,0.7338177926415793,0.7422115818703816,2.3567712623807253,-384.9979986120402
147,True,0.4599082100300519,0.4654055207648926,2.563593691698923,-372.444639418764
148,True,1.0760177491080276,1.122468010782967,1.1459888053180745,-368.3956030567904
149,True,0.13983765003359946,0.9482649077338491,2.132565883961265,-362.8046504012625
150,True,0.10916169348542723,1.9692026400315346,2.215474705002339,-399.014230699414
151,True,9.999999999999997e-06,0.38048617978238286,3.3555795607470147,-378.520268114607
152,True,0.45581099529265673,1.6639617333461083,1.6939503636475777,-384.6396638069633
153,True,0.004731715281875706,0.004987502601836519,3.3500374298917803,-361.66561013285013
154,True,1.1556043768903543,1.4294740299896191,1.502028392470797,-393.38453883124316
155,True,1.1593813152225674,1.228804287667891,1.280973511429568,-379.84424328571447
156,True,0.2695598999208379,0.2720800868471273,2.9217420116445827,-369.64576016332796
157,True,3.0025897950403305e-05,1.7903642024278668,1.7919932175981523,-376.42596060943225
158,True,9.999999999999997e-06,1.9999999999999995e-05,3.6113842529958067,-370.0605052851262
159,True,0.7946701124402062,0.9319339177847155,1.3837831259434805,-359.2311036549228
160,True,0.6026943732787864,0.627959460446573,2.1362274686771174,-368.8090668922483
161,True,1.2756063942549014,1.3545953972872018,1.4012389322302772,-391.666420074799
162,True,0.41624985204549997,0.41981040218132615,2.5309662856965818,-367.6977495300133
163,True,0.32916709298933644,0.3359915860632696,2.8823908333150436,-373.29037132328284
